"@timestamp","agent.name","host.ip","winlog.event_id"
"May 24, 2025 @ 16:28:14.999","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:13.410","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:13.367","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:13.091","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:13.090","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:12.349","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:12.009","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:11.942","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:11.431","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:10.857","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:10.592","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:10.327","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:09.845","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:09.805","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:09.240","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:09.220","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:08.572","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:08.162","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:07.993","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:07.991","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:06.997","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:06.533","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:05.965","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:05.554","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:04.939","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:04.785","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4634
"May 24, 2025 @ 16:28:04.510","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:04.249","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:04.054","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4776
"May 24, 2025 @ 16:28:04.054","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4672
"May 24, 2025 @ 16:28:04.054","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4624
"May 24, 2025 @ 16:28:03.380","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:03.264","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:02.882","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:02.287","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:01.874","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:01.872","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:01.764","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:00.802","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:28:00.384","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:28:00.365","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:27:59.104","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:57.278","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:56.711","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:56.705","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:56.703","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:56.702","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:53.651","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",5
"May 24, 2025 @ 16:27:53.459","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:53.352","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:49.103","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:48.138","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",4625
"May 24, 2025 @ 16:27:47.250","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:46.447","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:45.656","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
"May 24, 2025 @ 16:27:45.022","EC2AMAZ-63D1PC7","fe80::7a8a:e51:657a:e6a0, 172.31.42.20",3
